	MH1	MH2	MH3	MH4	MH5	MWS.H1	MWS.H2	MWS.H3	MWS.H4	MWS.H5	MWS1	MWS2	MWS3	MWS4	MWS5
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__Blastocatellales	0.0	0.0	0.0	0.001031095674824985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia;D_3__Thermoanaerobaculales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000607936332485907	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019580967299784609	0.0	0.003825587966786941
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales	0.0	0.0018981195373885408	0.021236959761549927	0.038530417322407334	0.0007819117742881345	0.0	0.002546473134708429	0.025030592946935142	0.0018291322774927504	0.00042439417731188726	0.00012372409526755336	0.0	0.00019580967299784609	0.0001658008179507019	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales	0.0	0.0	0.0	0.0	0.0014986642340522579	0.0	0.0	0.0	0.0017845192951148785	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales	0.0	0.0	0.001639344262295082	0.006132305855538069	0.0	0.0	0.0005602240896358543	0.004227389031037935	0.0	0.0	0.0	0.0	0.0	0.0	0.0005651436769117072
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales	0.0	0.004679085371236868	0.006408345752608048	0.005535355728007814	0.0011728676614322017	0.006253287359008825	0.0	0.0012793414172877961	0.009681017175998216	0.00025463650638713235	0.00018558614290133005	0.0	0.0	0.0018238089974577207	0.003912533147850281
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales	0.0	0.005076366204643771	0.0011922503725782414	0.0	0.0	0.0016363742621705337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0018843901196842372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria;D_3__Rubrobacterales	0.0	0.0	0.0	0.0	0.0036489216133446275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales	0.0	0.0	0.004172876304023845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	0.0	0.0	0.0	0.0	0.0007167524597641232	0.001987025889778505	0.0	0.000556235398820781	0.0	0.0008063489368925858	0.0029693782864212807	0.0	0.013706677109849227	0.0	0.0037821153762552713
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales	0.0011163337250293772	0.0004414231482298932	0.0	0.00043414554729473057	0.003453443669772594	0.011863713400736369	0.0	0.0020580709756368894	0.0	0.0009761066078173408	0.24033405505722238	0.01694236162784042	0.008517720775406305	0.0033712832983309386	0.0017823762117984612
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	0.0	0.004899796945351814	0.0	0.002550605090356542	0.006190134879781065	0.0031558646484717433	0.0	0.0058404716876182	0.0	0.00012731825319356617	0.003093102381688834	0.05134222425734074	0.009447816722146073	0.0012711396042887145	0.006260053036560449
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales	0.001645123384253819	0.00048556546305288247	0.006408345752608048	0.04319748195582569	0.013553137420994331	0.012565016655952312	0.0008148714031066972	0.04171765491155857	0.0006245817532902075	0.006535670330603064	0.1408598824621095	0.18241657604029535	0.14690620716663402	0.23350281861390515	0.0009563969916967352
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales	0.0	0.0	0.002309985096870343	0.0	0.0	0.0	0.0	0.004060518411391701	0.0	0.0	0.0	0.0006296147902237994	0.0	0.0016027412401901182	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;__	0.0	0.0	0.0	0.0	0.0014335049195282465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006632032718028076	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__Ignavibacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011748580379870766	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010568472577594838	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006174212926910669	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016130826565802648	0.0	0.0	0.0	0.0006296147902237994	0.0	0.0	0.0016519584402034516
D_0__Bacteria;D_1__Cloacimonetes;D_2__Cloacimonadia;D_3__Cloacimonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002056001566477384	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales	0.0	0.0	0.0	0.00010853638682368264	0.005994656936209031	0.0	0.0	0.0	0.0	0.0	0.0004330343334364367	0.05460477362486406	9.790483649892304e-05	0.001989609815408423	0.004477676824761988
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Oxyphotobacteria Incertae Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002873880844478833	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Phormidesmiales	0.0	0.0	0.0	0.005155478374124925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014881804132562532	0.0	0.0022659445119929257	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales	0.0019388954171562867	0.0030899620376092524	0.00022354694485842027	0.002387800510121018	0.020264546816967485	0.023376775173864765	0.02928444104914693	0.0006674824785849371	0.001249163506580415	0.0	0.001546551190844417	0.001087516455841108	0.0009790483649892304	0.0016027412401901182	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;__	0.0	0.0	0.0	0.0	0.0033231250407245714	0.0	0.0	0.0	0.0	0.0	0.00024744819053510673	0.0	0.0028392402584687683	0.0018238089974577207	0.0008259792201017258
D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae;D_3__Babeliales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008013279148302902	0.0	0.0	0.0
