	MH1	MH2	MH3	MH4	MH5	MWS.H1	MWS.H2	MWS.H3	MWS.H4	MWS.H5	MWS1	MWS2	MWS3	MWS4	MWS5
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4)	0.0	0.0	0.0	0.001031095674824985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000607936332485907	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019580967299784609	0.0	0.003825587966786941
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria	0.0	0.01165357111326918	0.030476900149031295	0.05019807890595322	0.003453443669772594	0.007889661621179359	0.003106697224344283	0.030537323395260874	0.013294668748605845	0.0006790306836990197	0.0003093102381688834	0.0	0.00019580967299784609	0.001989609815408423	0.004477676824761988
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0018843901196842372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria	0.0	0.0	0.0	0.0	0.0036489216133446275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia	0.0	0.0	0.004172876304023845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	0.0027614571092831964	0.00582678555663459	0.00871833084947839	0.046182232593476966	0.02534697334984036	0.029571620594938928	0.0008148714031066972	0.054232951385026144	0.0006245817532902075	0.008445444128506558	0.387256418187442	0.2513307767157003	0.17857842177403563	0.24041118602851774	0.012780941616310916
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011748580379870766	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072310601846701525	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016130826565802648	0.0	0.0	0.0	0.0006296147902237994	0.0	0.0	0.0016519584402034516
D_0__Bacteria;D_1__Cloacimonetes;D_2__Cloacimonadia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002056001566477384	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria	0.0019388954171562867	0.0030899620376092524	0.00022354694485842027	0.007651815271069626	0.02958232879390109	0.023376775173864765	0.02928444104914693	0.0006674824785849371	0.001249163506580415	0.0	0.0022270337148159606	0.057180470493961424	0.003916193459956922	0.01055598540952802	0.005303656044863714
D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008013279148302902	0.0	0.0	0.0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria	0.0	0.00035313851858391455	0.0	0.0005426819341184132	0.0	0.0	0.0	0.0008899766381132495	4.461298237787196e-05	0.002970759241183211	0.003278688524590164	0.000686852498425963	0.11474446837673781	0.0005526693931690063	0.0007390340390383863
D_0__Bacteria;D_1__Fibrobacteres;D_2__Chitinivibrionia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006007342307264434	0.0	0.0	0.0	0.0	0.003084002349716076	0.0	0.0
